sample_id	K	island	tree_id	fig_id	Group	Posterior
dec_2016_D05.bam	12	ishigaki	44	44-1	4	0
dec_2016_D10.bam	12	yonaguni	89	89-2	4	1
may_2017_A11.bam	12	ishigaki	22	22-2	4	0
may_2017_A12.bam	12	iriomote	72	72-17	4	0
may_2017_B11.bam	12	ishigaki	22	22-2	4	0
may_2017_B12.bam	12	ishigaki	22	22-2	4	0
may_2017_C11.bam	12	iriomote	72	72-17	4	0
may_2017_C12.bam	12	ishigaki	44	44-1	4	0
may_2017_D11.bam	12	iriomote	72	72-17	4	0
may_2017_D12.bam	12	ishigaki	44	44-2	4	0
may_2017_E11.bam	12	iriomote	72	72-16	4	0
may_2017_E12.bam	12	ishigaki	44	44-2	4	0
may_2017_F11.bam	12	yonaguni	89	89-4	4	0
may_2017_G12.bam	12	ishigaki	22	22-2	4	0
may_2017_H10.bam	12	ishigaki	44	44-2	4	0
may_2017_H11.bam	12	yonaguni	89	89-4	4	0
may_2017_H12.bam	12	ishigaki	22	22-2	4	0
A03.bam	12	yonaguni	87	87-3	5	1
A05.bam	12	yonaguni	89	89-3	5	0
B03.bam	12	yonaguni	87	87-3	5	0
dec_2016_D01.bam	12	iriomote	72	72-16	5	0
dec_2016_D02.bam	12	iriomote	72	72-16	5	0
dec_2016_D03.bam	12	ishigaki	44	44-1	5	0
dec_2016_D04.bam	12	ishigaki	44	44-1	5	0
dec_2016_D05.bam	12	ishigaki	44	44-1	5	0
dec_2016_D10.bam	12	yonaguni	89	89-2	5	0
may_2017_A11.bam	12	ishigaki	22	22-2	5	0
may_2017_A12.bam	12	iriomote	72	72-17	5	0
may_2017_B11.bam	12	ishigaki	22	22-2	5	0
may_2017_B12.bam	12	ishigaki	22	22-2	5	0
may_2017_C11.bam	12	iriomote	72	72-17	5	0
may_2017_C12.bam	12	ishigaki	44	44-1	5	0
may_2017_D11.bam	12	iriomote	72	72-17	5	0
may_2017_D12.bam	12	ishigaki	44	44-2	5	0
may_2017_E11.bam	12	iriomote	72	72-16	5	0
may_2017_E12.bam	12	ishigaki	44	44-2	5	0
may_2017_F11.bam	12	yonaguni	89	89-4	5	0
may_2017_G12.bam	12	ishigaki	22	22-2	5	0
may_2017_H10.bam	12	ishigaki	44	44-2	5	0
may_2017_H11.bam	12	yonaguni	89	89-4	5	0
may_2017_H12.bam	12	ishigaki	22	22-2	5	0
A03.bam	12	yonaguni	87	87-3	6	0
A05.bam	12	yonaguni	89	89-3	6	0
B03.bam	12	yonaguni	87	87-3	6	0
dec_2016_D01.bam	12	iriomote	72	72-16	6	0
dec_2016_D02.bam	12	iriomote	72	72-16	6	0
dec_2016_D03.bam	12	ishigaki	44	44-1	6	1
dec_2016_D04.bam	12	ishigaki	44	44-1	6	1
dec_2016_D05.bam	12	ishigaki	44	44-1	6	1
dec_2016_D10.bam	12	yonaguni	89	89-2	6	0
may_2017_A11.bam	12	ishigaki	22	22-2	6	0
may_2017_A12.bam	12	iriomote	72	72-17	6	0
may_2017_B11.bam	12	ishigaki	22	22-2	6	0
may_2017_B12.bam	12	ishigaki	22	22-2	6	0
may_2017_C11.bam	12	iriomote	72	72-17	6	0
may_2017_C12.bam	12	ishigaki	44	44-1	6	0
may_2017_D11.bam	12	iriomote	72	72-17	6	0
may_2017_D12.bam	12	ishigaki	44	44-2	6	0
may_2017_E11.bam	12	iriomote	72	72-16	6	0
may_2017_E12.bam	12	ishigaki	44	44-2	6	0
may_2017_F11.bam	12	yonaguni	89	89-4	6	0
may_2017_G12.bam	12	ishigaki	22	22-2	6	0
may_2017_H10.bam	12	ishigaki	44	44-2	6	0
may_2017_H11.bam	12	yonaguni	89	89-4	6	0
may_2017_H12.bam	12	ishigaki	22	22-2	6	0
A03.bam	12	yonaguni	87	87-3	7	0
A05.bam	12	yonaguni	89	89-3	7	1
B03.bam	12	yonaguni	87	87-3	7	0
dec_2016_D01.bam	12	iriomote	72	72-16	7	0
dec_2016_D02.bam	12	iriomote	72	72-16	7	0
dec_2016_D03.bam	12	ishigaki	44	44-1	7	0
dec_2016_D04.bam	12	ishigaki	44	44-1	7	0
dec_2016_D05.bam	12	ishigaki	44	44-1	7	0
dec_2016_D10.bam	12	yonaguni	89	89-2	7	0
may_2017_A11.bam	12	ishigaki	22	22-2	7	0
may_2017_A12.bam	12	iriomote	72	72-17	7	0
may_2017_B11.bam	12	ishigaki	22	22-2	7	0
may_2017_B12.bam	12	ishigaki	22	22-2	7	0
may_2017_C11.bam	12	iriomote	72	72-17	7	0
may_2017_C12.bam	12	ishigaki	44	44-1	7	0
may_2017_D11.bam	12	iriomote	72	72-17	7	0
may_2017_D12.bam	12	ishigaki	44	44-2	7	0
may_2017_E11.bam	12	iriomote	72	72-16	7	0
may_2017_E12.bam	12	ishigaki	44	44-2	7	0
may_2017_F11.bam	12	yonaguni	89	89-4	7	0
may_2017_G12.bam	12	ishigaki	22	22-2	7	0
may_2017_H10.bam	12	ishigaki	44	44-2	7	0
may_2017_H11.bam	12	yonaguni	89	89-4	7	0
may_2017_H12.bam	12	ishigaki	22	22-2	7	0
A03.bam	12	yonaguni	87	87-3	8	0
A05.bam	12	yonaguni	89	89-3	8	0
B03.bam	12	yonaguni	87	87-3	8	0
dec_2016_D01.bam	12	iriomote	72	72-16	8	0
dec_2016_D02.bam	12	iriomote	72	72-16	8	0
dec_2016_D03.bam	12	ishigaki	44	44-1	8	0
dec_2016_D04.bam	12	ishigaki	44	44-1	8	0
dec_2016_D05.bam	12	ishigaki	44	44-1	8	0
dec_2016_D10.bam	12	yonaguni	89	89-2	8	0
may_2017_A11.bam	12	ishigaki	22	22-2	8	0
may_2017_A12.bam	12	iriomote	72	72-17	8	0
may_2017_B11.bam	12	ishigaki	22	22-2	8	0
may_2017_B12.bam	12	ishigaki	22	22-2	8	0
may_2017_C11.bam	12	iriomote	72	72-17	8	0
may_2017_C12.bam	12	ishigaki	44	44-1	8	1
may_2017_D11.bam	12	iriomote	72	72-17	8	0
may_2017_D12.bam	12	ishigaki	44	44-2	8	0
may_2017_E11.bam	12	iriomote	72	72-16	8	0
may_2017_E12.bam	12	ishigaki	44	44-2	8	0
may_2017_F11.bam	12	yonaguni	89	89-4	8	0
may_2017_G12.bam	12	ishigaki	22	22-2	8	0
may_2017_H10.bam	12	ishigaki	44	44-2	8	0
may_2017_H11.bam	12	yonaguni	89	89-4	8	0
may_2017_H12.bam	12	ishigaki	22	22-2	8	0
A03.bam	12	yonaguni	87	87-3	9	0
A05.bam	12	yonaguni	89	89-3	9	0
B03.bam	12	yonaguni	87	87-3	9	0
dec_2016_D01.bam	12	iriomote	72	72-16	9	0
dec_2016_D02.bam	12	iriomote	72	72-16	9	1
dec_2016_D03.bam	12	ishigaki	44	44-1	9	0
dec_2016_D04.bam	12	ishigaki	44	44-1	9	0
dec_2016_D05.bam	12	ishigaki	44	44-1	9	0
dec_2016_D10.bam	12	yonaguni	89	89-2	9	0
may_2017_A11.bam	12	ishigaki	22	22-2	9	0
may_2017_A12.bam	12	iriomote	72	72-17	9	0
may_2017_B11.bam	12	ishigaki	22	22-2	9	0
may_2017_B12.bam	12	ishigaki	22	22-2	9	0
may_2017_C11.bam	12	iriomote	72	72-17	9	0
may_2017_C12.bam	12	ishigaki	44	44-1	9	0
may_2017_D11.bam	12	iriomote	72	72-17	9	0
may_2017_D12.bam	12	ishigaki	44	44-2	9	0
may_2017_E11.bam	12	iriomote	72	72-16	9	0
may_2017_E12.bam	12	ishigaki	44	44-2	9	0
may_2017_F11.bam	12	yonaguni	89	89-4	9	0
may_2017_G12.bam	12	ishigaki	22	22-2	9	0
may_2017_H10.bam	12	ishigaki	44	44-2	9	0
may_2017_H11.bam	12	yonaguni	89	89-4	9	0
may_2017_H12.bam	12	ishigaki	22	22-2	9	0
A03.bam	12	yonaguni	87	87-3	10	0
A05.bam	12	yonaguni	89	89-3	10	0
B03.bam	12	yonaguni	87	87-3	10	0
dec_2016_D01.bam	12	iriomote	72	72-16	10	0
dec_2016_D02.bam	12	iriomote	72	72-16	10	0
dec_2016_D03.bam	12	ishigaki	44	44-1	10	0
dec_2016_D04.bam	12	ishigaki	44	44-1	10	0
dec_2016_D05.bam	12	ishigaki	44	44-1	10	0
dec_2016_D10.bam	12	yonaguni	89	89-2	10	0
may_2017_A11.bam	12	ishigaki	22	22-2	10	0
may_2017_A12.bam	12	iriomote	72	72-17	10	0
may_2017_B11.bam	12	ishigaki	22	22-2	10	0
may_2017_B12.bam	12	ishigaki	22	22-2	10	0
may_2017_C11.bam	12	iriomote	72	72-17	10	0
may_2017_C12.bam	12	ishigaki	44	44-1	10	0
may_2017_D11.bam	12	iriomote	72	72-17	10	0
may_2017_D12.bam	12	ishigaki	44	44-2	10	0
may_2017_E11.bam	12	iriomote	72	72-16	10	0
may_2017_E12.bam	12	ishigaki	44	44-2	10	0
may_2017_F11.bam	12	yonaguni	89	89-4	10	1
may_2017_G12.bam	12	ishigaki	22	22-2	10	0
may_2017_H10.bam	12	ishigaki	44	44-2	10	0
may_2017_H11.bam	12	yonaguni	89	89-4	10	0
may_2017_H12.bam	12	ishigaki	22	22-2	10	0
A03.bam	12	yonaguni	87	87-3	11	0
A05.bam	12	yonaguni	89	89-3	11	0
B03.bam	12	yonaguni	87	87-3	11	0
dec_2016_D01.bam	12	iriomote	72	72-16	11	0
dec_2016_D02.bam	12	iriomote	72	72-16	11	0
dec_2016_D03.bam	12	ishigaki	44	44-1	11	0
dec_2016_D04.bam	12	ishigaki	44	44-1	11	0
dec_2016_D05.bam	12	ishigaki	44	44-1	11	0
dec_2016_D10.bam	12	yonaguni	89	89-2	11	0
may_2017_A11.bam	12	ishigaki	22	22-2	11	0
may_2017_A12.bam	12	iriomote	72	72-17	11	0
may_2017_B11.bam	12	ishigaki	22	22-2	11	1
may_2017_B12.bam	12	ishigaki	22	22-2	11	0
may_2017_C11.bam	12	iriomote	72	72-17	11	1
may_2017_C12.bam	12	ishigaki	44	44-1	11	0
may_2017_D11.bam	12	iriomote	72	72-17	11	0
may_2017_D12.bam	12	ishigaki	44	44-2	11	0
may_2017_E11.bam	12	iriomote	72	72-16	11	0
may_2017_E12.bam	12	ishigaki	44	44-2	11	0
may_2017_F11.bam	12	yonaguni	89	89-4	11	0
may_2017_G12.bam	12	ishigaki	22	22-2	11	0
may_2017_H10.bam	12	ishigaki	44	44-2	11	0
may_2017_H11.bam	12	yonaguni	89	89-4	11	0
may_2017_H12.bam	12	ishigaki	22	22-2	11	0
A03.bam	12	yonaguni	87	87-3	12	0
A05.bam	12	yonaguni	89	89-3	12	0
B03.bam	12	yonaguni	87	87-3	12	0
dec_2016_D01.bam	12	iriomote	72	72-16	12	0
dec_2016_D02.bam	12	iriomote	72	72-16	12	0
dec_2016_D03.bam	12	ishigaki	44	44-1	12	0
dec_2016_D04.bam	12	ishigaki	44	44-1	12	0
dec_2016_D05.bam	12	ishigaki	44	44-1	12	0
dec_2016_D10.bam	12	yonaguni	89	89-2	12	0
may_2017_A11.bam	12	ishigaki	22	22-2	12	1
may_2017_A12.bam	12	iriomote	72	72-17	12	0
may_2017_B11.bam	12	ishigaki	22	22-2	12	0
may_2017_B12.bam	12	ishigaki	22	22-2	12	0
may_2017_C11.bam	12	iriomote	72	72-17	12	0
may_2017_C12.bam	12	ishigaki	44	44-1	12	0
may_2017_D11.bam	12	iriomote	72	72-17	12	0
may_2017_D12.bam	12	ishigaki	44	44-2	12	0
may_2017_E11.bam	12	iriomote	72	72-16	12	0
may_2017_E12.bam	12	ishigaki	44	44-2	12	0
may_2017_F11.bam	12	yonaguni	89	89-4	12	0
may_2017_G12.bam	12	ishigaki	22	22-2	12	1
may_2017_H10.bam	12	ishigaki	44	44-2	12	0
may_2017_H11.bam	12	yonaguni	89	89-4	12	0
may_2017_H12.bam	12	ishigaki	22	22-2	12	1
