sample_id	K	island	tree_id	fig_id	Group	Posterior
dec_2016_D02.bam	5	iriomote	72	72-16	4	1
dec_2016_D03.bam	5	ishigaki	44	44-1	4	0
dec_2016_D04.bam	5	ishigaki	44	44-1	4	0
dec_2016_D05.bam	5	ishigaki	44	44-1	4	0
dec_2016_D10.bam	5	yonaguni	89	89-2	4	1
may_2017_A11.bam	5	ishigaki	22	22-2	4	0
may_2017_A12.bam	5	iriomote	72	72-17	4	1
may_2017_B11.bam	5	ishigaki	22	22-2	4	0
may_2017_B12.bam	5	ishigaki	22	22-2	4	1
may_2017_C11.bam	5	iriomote	72	72-17	4	0
may_2017_C12.bam	5	ishigaki	44	44-1	4	1
may_2017_D11.bam	5	iriomote	72	72-17	4	0
may_2017_D12.bam	5	ishigaki	44	44-2	4	0
may_2017_E11.bam	5	iriomote	72	72-16	4	1
may_2017_E12.bam	5	ishigaki	44	44-2	4	0
may_2017_F11.bam	5	yonaguni	89	89-4	4	1
may_2017_G12.bam	5	ishigaki	22	22-2	4	0
may_2017_H10.bam	5	ishigaki	44	44-2	4	1
may_2017_H11.bam	5	yonaguni	89	89-4	4	1
may_2017_H12.bam	5	ishigaki	22	22-2	4	0
A03.bam	5	yonaguni	87	87-3	5	0
A05.bam	5	yonaguni	89	89-3	5	0
B03.bam	5	yonaguni	87	87-3	5	0
dec_2016_D01.bam	5	iriomote	72	72-16	5	0
dec_2016_D02.bam	5	iriomote	72	72-16	5	0
dec_2016_D03.bam	5	ishigaki	44	44-1	5	0
dec_2016_D04.bam	5	ishigaki	44	44-1	5	0
dec_2016_D05.bam	5	ishigaki	44	44-1	5	0
dec_2016_D10.bam	5	yonaguni	89	89-2	5	0
may_2017_A11.bam	5	ishigaki	22	22-2	5	0
may_2017_A12.bam	5	iriomote	72	72-17	5	0
may_2017_B11.bam	5	ishigaki	22	22-2	5	1
may_2017_B12.bam	5	ishigaki	22	22-2	5	0
may_2017_C11.bam	5	iriomote	72	72-17	5	1
may_2017_C12.bam	5	ishigaki	44	44-1	5	0
may_2017_D11.bam	5	iriomote	72	72-17	5	1
may_2017_D12.bam	5	ishigaki	44	44-2	5	0
may_2017_E11.bam	5	iriomote	72	72-16	5	0
may_2017_E12.bam	5	ishigaki	44	44-2	5	0
may_2017_F11.bam	5	yonaguni	89	89-4	5	0
may_2017_G12.bam	5	ishigaki	22	22-2	5	0
may_2017_H10.bam	5	ishigaki	44	44-2	5	0
may_2017_H11.bam	5	yonaguni	89	89-4	5	0
may_2017_H12.bam	5	ishigaki	22	22-2	5	0
A03.bam	9	yonaguni	87	87-3	1	0
A05.bam	9	yonaguni	89	89-3	1	0
B03.bam	9	yonaguni	87	87-3	1	0
dec_2016_D01.bam	9	iriomote	72	72-16	1	0
dec_2016_D02.bam	9	iriomote	72	72-16	1	0
dec_2016_D03.bam	9	ishigaki	44	44-1	1	0
dec_2016_D04.bam	9	ishigaki	44	44-1	1	0
dec_2016_D05.bam	9	ishigaki	44	44-1	1	0
dec_2016_D10.bam	9	yonaguni	89	89-2	1	1
may_2017_A11.bam	9	ishigaki	22	22-2	1	0
may_2017_A12.bam	9	iriomote	72	72-17	1	0
may_2017_B11.bam	9	ishigaki	22	22-2	1	0
may_2017_B12.bam	9	ishigaki	22	22-2	1	0
may_2017_C11.bam	9	iriomote	72	72-17	1	0
may_2017_C12.bam	9	ishigaki	44	44-1	1	0
may_2017_D11.bam	9	iriomote	72	72-17	1	0
may_2017_D12.bam	9	ishigaki	44	44-2	1	0
may_2017_E11.bam	9	iriomote	72	72-16	1	0
may_2017_E12.bam	9	ishigaki	44	44-2	1	0
may_2017_F11.bam	9	yonaguni	89	89-4	1	0
may_2017_G12.bam	9	ishigaki	22	22-2	1	0
may_2017_H10.bam	9	ishigaki	44	44-2	1	0
may_2017_H11.bam	9	yonaguni	89	89-4	1	0
may_2017_H12.bam	9	ishigaki	22	22-2	1	0
A03.bam	9	yonaguni	87	87-3	2	0
A05.bam	9	yonaguni	89	89-3	2	0
B03.bam	9	yonaguni	87	87-3	2	0
dec_2016_D01.bam	9	iriomote	72	72-16	2	0
dec_2016_D02.bam	9	iriomote	72	72-16	2	0
dec_2016_D03.bam	9	ishigaki	44	44-1	2	0
dec_2016_D04.bam	9	ishigaki	44	44-1	2	0
dec_2016_D05.bam	9	ishigaki	44	44-1	2	0
dec_2016_D10.bam	9	yonaguni	89	89-2	2	0
may_2017_A11.bam	9	ishigaki	22	22-2	2	1
may_2017_A12.bam	9	iriomote	72	72-17	2	0
may_2017_B11.bam	9	ishigaki	22	22-2	2	0
may_2017_B12.bam	9	ishigaki	22	22-2	2	0
may_2017_C11.bam	9	iriomote	72	72-17	2	0
may_2017_C12.bam	9	ishigaki	44	44-1	2	0
may_2017_D11.bam	9	iriomote	72	72-17	2	0
may_2017_D12.bam	9	ishigaki	44	44-2	2	0
may_2017_E11.bam	9	iriomote	72	72-16	2	0
