PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	Island
A03.bam	16.7648909136255	7.31279873488741	-9.39476104802353	1.43048930538113	7.73763805799212	34.9021741904704	30.203057099082	95.6822893296511	35.0634755926131	0.700561838501798	8.28096256815332	-0.777788510225602	-7.73065080302872	-11.4035198391471	0.329734807492268	-0.0192434078206857	-0.826546336085824	0.503977709745573	3.1236180246975	0.424879149701206	Yonaguni
A05.bam	12.5168014882059	8.35102605416389	-8.09414547676052	2.23591855416675	7.99036361779977	7.49802193426489	16.6926164131097	16.4500357474215	-95.5037473776135	24.5774120940182	18.9336977152605	-22.2329493629093	-18.0160879890903	-8.15210140023698	2.10850941017392	-5.10073131060749	1.22109343043211	0.29015396533125	2.73710231156534	0.324887405479817	Yonaguni
B03.bam	2.98607662093158	1.597791928515	-1.98354600887847	0.341116217243506	1.63578532244484	4.12856473598342	3.75577581139816	13.3588780966175	3.54607475065046	-0.612841640308517	1.70297835887182	0.324251503369548	-0.0824337632169741	-2.39049325668411	0.0198022395709517	-0.846697925301374	-0.477408086494406	0.302815277354721	-3.00882803264057	-1.02209997420854	Yonaguni
dec_2016_D01.bam	12.7341233724615	3.95343595490828	-3.7608739697985	4.64114443435967	8.24531970202196	16.0431718072613	11.0398700001688	8.62869770897994	-12.5679830362731	-12.4788982895855	-28.8970815287779	-6.54162973266524	34.9174783022239	80.1655023804867	20.4655472328479	-2.11205628668523	4.19929694163319	-3.95048423068925	3.24286331492538	0.272678022134568	Iriomote
dec_2016_D02.bam	13.0174632949812	-7.55319124879706	-2.91562679234276	13.7714099776466	18.4620586291049	44.178708789155	61.8496144897063	-54.3298312031365	28.9064573921675	49.7976098937749	25.6085527629057	2.53003392969571	-0.409607539946204	5.20716524585083	-1.63520182530461	-0.34972843327909	-0.963255848312841	-0.41354463620974	2.57494929471889	-0.0656240687528194	Iriomote
dec_2016_D03.bam	-107.363505598357	1.79426399420804	3.2418359901551	-5.46245959676097	-3.23505826346262	-3.2774161237165	-1.44291739863704	-0.181099277426465	2.00298815634044	3.00764288004095	-1.78301885655402	-1.99000223913837	2.15758680521433	2.33777935704745	1.7645909874621	-3.75069888495968	-3.68850953496183	61.7319846265861	1.75037855608098	21.6091300813725	Ishigaki
dec_2016_D04.bam	-108.134509301756	1.31184439665754	3.2163315705747	-5.3612690262983	-6.10785397866731	-2.21291894659976	-0.641064603342973	0.293893485325572	1.31605261396721	1.59728750043073	-1.39643668958853	-0.672428248636262	-2.88394462912532	0.355282766448924	0.0126340115019838	2.82071765786649	0.20100913383734	-6.23381644783844	2.73744859998008	-52.6511224456114	Ishigaki
dec_2016_D05.bam	-109.918677051959	0.788060021272956	2.6966958486561	-5.71219258484452	-6.83415769207747	-1.76821388593769	-1.13721894356955	-0.588883830031293	1.94525720372574	0.474559008351982	-0.398327858052258	0.253609106672023	-6.11763441836589	-1.50244610398017	-1.48746396133878	4.08130433166951	3.18616078353705	-53.8569827857492	2.27621317447754	30.9653437715511	Ishigaki
dec_2016_D10.bam	7.3185931669167	1.03067139248636	-10.3197781935906	43.178481506543	101.643284945919	-74.4324876370268	-4.66560375332481	2.66850451345151	11.1358212588265	4.76731688916583	-1.37580839599447	-1.05679202196596	-5.58171772738955	-0.609932884676762	0.690178940852262	1.25371119402729	1.48753988481464	-1.24013813026306	2.72707902915427	-0.165854168827863	Yonaguni
may_2017_A11.bam	17.1008252507276	31.4785510170578	-46.0784601191914	-30.4998483885358	-12.666401879318	-13.2500989160769	-9.07868536121379	-11.6990386058824	12.8541984332328	-12.1010767286262	14.6805264242616	-8.0807933962839	3.93615924511865	-3.98135988620455	-4.25879996891113	-69.0525194789961	29.3457027573252	-2.329686282158	5.04856582441726	-0.951783831678091	Ishigaki
may_2017_A12.bam	4.57643494991089	-6.37466498029638	-0.837769897738992	-0.0268931958353889	0.432524262455104	0.14130506708684	2.12266210572455	-1.46958142357948	-6.62124842701418	-11.6113811595266	10.7827783770221	29.4663969181591	1.51254598488094	0.82706172897083	2.31647062810497	-2.78682623570365	-0.97490080479177	-0.215415986775827	-69.8200835712328	-0.370421143121532	Iriomote
may_2017_B11.bam	24.1750467576023	-84.0887640116938	14.1153964533601	-30.6247607101193	-16.7077767686414	-21.8003258244086	-4.56250099763129	1.59376857913592	8.27203894930451	12.6468780114346	-10.3811649882885	-26.3774492013136	-1.46274385589608	-1.33105587020235	-2.17653248364842	1.02946126965548	1.03829894723973	-0.378869501764266	-3.27182456300273	0.0620594931285605	Ishigaki
may_2017_B12.bam	3.6560081387298	5.88936723415832	-8.236419914404	-4.83462901994095	-1.4038025465698	-2.56306792334914	-0.832910815571559	-1.6319722692363	0.0789737190559574	-2.35699340893842	3.49410319412624	-2.35362425373098	-0.690451356750099	0.25189969972215	0.286290073891429	3.94997437476055	-1.76924966542096	-0.0269743752674997	-1.07003044877884	-0.126076937589605	Ishigaki
may_2017_C11.bam	24.0183421844056	-84.3968331453409	14.0111689105964	-30.8776028713417	-16.6997222480048	-21.7919906175412	-4.47088352051216	1.50900831932216	8.33505985108957	13.0459385349731	-10.5157330172365	-26.7062197828343	-1.46941694042661	-1.53327716429888	-1.56369965075995	0.810017512209648	1.17335145617421	0.0384507914920491	-2.03240178903119	0.0361749229119662	Iriomote
