scaffold,start,end,mid,sites,pi_all,species
I,20250001,20260000,20255472,1233,0.009,C. inopinata
I,20260001,20270000,20263517,639,0.0076,C. inopinata
I,20270001,20280000,20274483,1786,0.0065,C. inopinata
I,20280001,20290000,20284131,1492,0.0032,C. inopinata
I,20290001,20300000,20298624,549,0.0011,C. inopinata
I,20300001,20310000,20305966,823,0.0125,C. inopinata
I,20320001,20330000,20325106,2211,0.0073,C. inopinata
I,20340001,20350000,20342475,420,0.0078,C. inopinata
I,20360001,20370000,20363861,453,0.0099,C. inopinata
I,20380001,20390000,20384068,899,0.0074,C. inopinata
I,20390001,20400000,20390948,268,0.0018,C. inopinata
I,20420001,20430000,20424269,1232,0.0042,C. inopinata
I,20430001,20440000,20430332,257,0.0094,C. inopinata
I,20440001,20450000,20442803,532,0.0064,C. inopinata
I,20450001,20460000,20454696,1585,0.0047,C. inopinata
I,20460001,20470000,20461820,534,0.0037,C. inopinata
I,20470001,20480000,20477577,1607,0.005,C. inopinata
I,20500001,20510000,20502933,1218,0.0046,C. inopinata
I,20510001,20520000,20518595,703,0.0022,C. inopinata
I,20520001,20530000,20527217,542,0.0027,C. inopinata
I,20530001,20540000,20535649,2113,0.0014,C. inopinata
I,20540001,20550000,20548100,402,0.0009,C. inopinata
I,20550001,20560000,20555259,766,0.0021,C. inopinata
I,20560001,20570000,20561895,1022,0.0049,C. inopinata
I,20580001,20590000,20583581,256,0.0052,C. inopinata
II,10001,20000,17827,648,0.0076,C. inopinata
II,20001,30000,23619,258,0.0096,C. inopinata
II,30001,40000,37690,968,0.0042,C. inopinata
II,40001,50000,46180,172,0.0045,C. inopinata
II,50001,60000,56646,299,0.003,C. inopinata
II,60001,70000,66026,702,0.0132,C. inopinata
II,70001,80000,73028,1064,0.0095,C. inopinata
II,90001,100000,94897,883,0.0094,C. inopinata
II,100001,110000,104688,696,0.0064,C. inopinata
II,110001,120000,111161,501,0.0085,C. inopinata
II,120001,130000,123443,278,0.0146,C. inopinata
II,130001,140000,133934,504,0.0142,C. inopinata
II,140001,150000,146416,586,0.0176,C. inopinata
II,150001,160000,153352,690,0.0083,C. inopinata
II,160001,170000,167614,863,0.0089,C. inopinata
II,170001,180000,174715,201,0.0136,C. inopinata
II,200001,210000,205763,336,0.0083,C. inopinata
II,220001,230000,224497,234,0.0182,C. inopinata
II,230001,240000,236522,659,0.0083,C. inopinata
II,240001,250000,242324,366,0.0097,C. inopinata
II,250001,260000,255888,228,0.0142,C. inopinata
II,260001,270000,262811,201,0.0045,C. inopinata
II,270001,280000,270218,197,0.0104,C. inopinata
II,290001,300000,296563,358,0.0273,C. inopinata
II,320001,330000,327071,273,0.0094,C. inopinata
II,340001,350000,343574,643,0.015,C. inopinata
II,380001,390000,383879,555,0.0047,C. inopinata
II,390001,400000,397638,615,0.0076,C. inopinata
II,400001,410000,404028,612,0.009,C. inopinata
II,410001,420000,414567,351,0.0105,C. inopinata
II,420001,430000,427561,202,0.01,C. inopinata
II,430001,440000,433800,617,0.0041,C. inopinata
II,440001,450000,447539,211,0.0105,C. inopinata
II,460001,470000,466471,577,0.0024,C. inopinata
II,470001,480000,477672,1012,0.0147,C. inopinata
II,480001,490000,483407,816,0.0214,C. inopinata
II,580001,590000,584234,529,0.0241,C. inopinata
II,590001,600000,595446,698,0.0067,C. inopinata
II,600001,610000,605039,1671,0.0047,C. inopinata
II,610001,620000,615065,896,0.0068,C. inopinata
II,620001,630000,623333,770,0.003,C. inopinata
II,630001,640000,635699,875,0.0053,C. inopinata
II,640001,650000,643942,465,0.001,C. inopinata
II,650001,660000,655231,486,0.0032,C. inopinata
II,660001,670000,665624,494,0.0051,C. inopinata
II,670001,680000,678298,408,0.0047,C. inopinata
II,690001,700000,694993,221,0.0106,C. inopinata
II,710001,720000,710598,575,0.0168,C. inopinata
II,740001,750000,746262,714,0.0095,C. inopinata
II,750001,760000,753090,1260,0.0125,C. inopinata
II,760001,770000,763414,348,0.01,C. inopinata
II,770001,780000,775104,867,0.0115,C. inopinata
II,780001,790000,785003,1396,0.0195,C. inopinata
II,800001,810000,804712,318,0.0102,C. inopinata
II,810001,820000,812873,2023,0.0182,C. inopinata
II,820001,830000,825447,1696,0.0095,C. inopinata
II,830001,840000,835931,636,0.0089,C. inopinata
II,840001,850000,847224,899,0.0109,C. inopinata
II,850001,860000,855372,542,0.0121,C. inopinata
II,890001,900000,895112,972,0.0398,C. inopinata
II,920001,930000,928258,590,0.0118,C. inopinata
II,930001,940000,931814,711,0.0154,C. inopinata
II,970001,980000,976259,220,0.026,C. inopinata
II,980001,990000,988445,511,0.0048,C. inopinata
II,990001,1000000,995324,558,0.0208,C. inopinata
II,1000001,1010000,1004949,580,0.003,C. inopinata
II,1010001,1020000,1015349,1469,0.0107,C. inopinata
II,1020001,1030000,1025921,820,0.0076,C. inopinata
II,1030001,1040000,1032602,949,0.0064,C. inopinata
II,1040001,1050000,1043909,732,0.0151,C. inopinata
II,1050001,1060000,1052419,407,0.009,C. inopinata
II,1060001,1070000,1065204,494,0.0121,C. inopinata
II,1070001,1080000,1072337,328,0.0217,C. inopinata
II,1220001,1230000,1225580,258,0.0186,C. inopinata
II,1290001,1300000,1296503,188,0.0113,C. inopinata
II,1300001,1310000,1306919,751,0.0119,C. inopinata
II,1310001,1320000,1314879,562,0.0217,C. inopinata
II,1340001,1350000,1343626,985,0.0179,C. inopinata
II,1350001,1360000,1351807,374,0.0434,C. inopinata
II,1380001,1390000,1386696,794,0.027,C. inopinata
II,1400001,1410000,1404331,619,0.0265,C. inopinata
II,1430001,1440000,1436090,372,0.0138,C. inopinata
II,1440001,1450000,1444461,459,0.0222,C. inopinata
II,1460001,1470000,1467298,513,0.0261,C. inopinata
II,1520001,1530000,1526089,222,0.0188,C. inopinata
II,1530001,1540000,1532868,510,0.0199,C. inopinata
II,1540001,1550000,1542771,269,0.0166,C. inopinata
II,1550001,1560000,1556164,647,0.0185,C. inopinata
II,1560001,1570000,1565964,694,0.0222,C. inopinata
II,1580001,1590000,1581839,344,0.0094,C. inopinata
II,1600001,1610000,1607395,258,0.0079,C. inopinata
II,1630001,1640000,1634260,276,0.0133,C. inopinata
II,1640001,1650000,1647241,695,0.0241,C. inopinata
II,1650001,1660000,1654183,1193,0.0178,C. inopinata
II,1660001,1670000,1663429,596,0.0063,C. inopinata
II,1670001,1680000,1674782,173,0.063,C. inopinata
II,1690001,1700000,1696912,338,0.0157,C. inopinata
II,1700001,1710000,1704143,386,0.003,C. inopinata
II,1710001,1720000,1715988,1596,0.0157,C. inopinata
II,1720001,1730000,1729120,548,0.0121,C. inopinata
II,1730001,1740000,1733441,1082,0.0082,C. inopinata
II,1740001,1750000,1741926,364,0.0055,C. inopinata
II,1840001,1850000,1846097,221,0.0261,C. inopinata
II,1850001,1860000,1851914,343,0.0222,C. inopinata
II,1870001,1880000,1874082,271,0.018,C. inopinata
II,1880001,1890000,1886020,647,0.0164,C. inopinata
II,1890001,1900000,1895050,901,0.0193,C. inopinata
II,1900001,1910000,1902640,770,0.0149,C. inopinata
II,1920001,1930000,1925542,1580,0.0074,C. inopinata
II,1930001,1940000,1932595,487,0.002,C. inopinata
II,1950001,1960000,1950532,217,0.0088,C. inopinata
II,2010001,2020000,2015910,328,0.0064,C. inopinata
II,2020001,2030000,2024445,207,0.0163,C. inopinata
II,2030001,2040000,2033417,651,0.0479,C. inopinata
II,2050001,2060000,2054576,493,0.0248,C. inopinata
II,2100001,2110000,2105636,1122,0.0142,C. inopinata
II,2110001,2120000,2117090,1183,0.0334,C. inopinata
II,2120001,2130000,2127429,346,0.0026,C. inopinata
II,2140001,2150000,2142445,474,0.0216,C. inopinata
II,2210001,2220000,2219339,168,0.0182,C. inopinata
II,2220001,2230000,2224931,911,0.0184,C. inopinata
II,2230001,2240000,2233757,458,0.0131,C. inopinata
II,2240001,2250000,2246476,482,0.0059,C. inopinata
II,2260001,2270000,2260754,228,0.0029,C. inopinata
II,2340001,2350000,2349766,325,0.0216,C. inopinata
II,2350001,2360000,2352433,353,0.0236,C. inopinata
II,2390001,2400000,2394723,197,0.0152,C. inopinata
II,2410001,2420000,2418282,269,0.0005,C. inopinata
II,2420001,2430000,2421880,773,0.0084,C. inopinata
II,2450001,2460000,2459421,199,0.0222,C. inopinata
II,2460001,2470000,2465943,979,0.0154,C. inopinata
II,2470001,2480000,2471727,366,0.0199,C. inopinata
II,2530001,2540000,2538698,307,0.0157,C. inopinata
II,2540001,2550000,2543266,1048,0.0052,C. inopinata
II,2580001,2590000,2585989,315,0.0175,C. inopinata
II,2590001,2600000,2595041,250,0.012,C. inopinata
II,2600001,2610000,2607031,266,0.0133,C. inopinata
II,2620001,2630000,2628270,442,0.0169,C. inopinata
II,2630001,2640000,2633458,363,0.0251,C. inopinata
II,2660001,2670000,2661599,226,0.0149,C. inopinata
II,2670001,2680000,2673033,345,0.0216,C. inopinata
II,2680001,2690000,2688083,351,0.0124,C. inopinata
II,2690001,2700000,2694195,847,0.0138,C. inopinata
II,2720001,2730000,2724229,509,0.0169,C. inopinata
II,2730001,2740000,2734518,772,0.0258,C. inopinata
II,2780001,2790000,2788448,317,0.027,C. inopinata
II,2810001,2820000,2813868,278,0.0545,C. inopinata
II,2820001,2830000,2823299,253,0.0697,C. inopinata
II,2850001,2860000,2858428,272,0.013,C. inopinata
II,2860001,2870000,2864727,1324,0.0174,C. inopinata
II,2870001,2880000,2873097,408,0.0139,C. inopinata
II,2880001,2890000,2886404,350,0.0232,C. inopinata
II,2890001,2900000,2898301,392,0.0226,C. inopinata
II,2900001,2910000,2901946,734,0.0102,C. inopinata
II,2910001,2920000,2915371,378,0.0249,C. inopinata
II,3010001,3020000,3015329,253,0.0037,C. inopinata
II,3030001,3040000,3035090,194,0.0102,C. inopinata
II,3040001,3050000,3043933,260,0.0032,C. inopinata
II,3100001,3110000,3100858,365,0.0095,C. inopinata
II,3120001,3130000,3125971,663,0.024,C. inopinata
II,3140001,3150000,3145154,460,0.0284,C. inopinata
II,3180001,3190000,3186987,1050,0.0138,C. inopinata
II,3190001,3200000,3194905,393,0.0028,C. inopinata
II,3210001,3220000,3215942,1479,0.0137,C. inopinata
II,3220001,3230000,3225567,273,0.0056,C. inopinata
II,3240001,3250000,3244502,936,0.0057,C. inopinata
II,3250001,3260000,3253236,529,0.0101,C. inopinata
II,3270001,3280000,3278025,485,0.014,C. inopinata
II,3280001,3290000,3285520,717,0.0268,C. inopinata
II,3290001,3300000,3292575,970,0.0167,C. inopinata
II,3300001,3310000,3307084,375,0.0269,C. inopinata
II,3440001,3450000,3445323,1023,0.0134,C. inopinata
II,3450001,3460000,3459015,233,0.0011,C. inopinata
II,3460001,3470000,3464685,1631,0.0236,C. inopinata
II,3470001,3480000,3472774,626,0.0112,C. inopinata
II,3480001,3490000,3486512,957,0.0097,C. inopinata
II,3490001,3500000,3492319,526,0.0161,C. inopinata
II,3500001,3510000,3506857,454,0.0186,C. inopinata
II,3530001,3540000,3533628,494,0.012,C. inopinata
II,3540001,3550000,3544992,1984,0.0081,C. inopinata
II,3550001,3560000,3552058,287,0.0093,C. inopinata
II,3560001,3570000,3568046,902,0.0048,C. inopinata
II,3610001,3620000,3613091,352,0.0111,C. inopinata
II,3620001,3630000,3623726,1032,0.0179,C. inopinata
II,3640001,3650000,3649102,697,0.0209,C. inopinata
II,3650001,3660000,3655503,1959,0.0147,C. inopinata
II,3660001,3670000,3661839,474,0.0402,C. inopinata
II,3680001,3690000,3685123,411,0.0173,C. inopinata
II,3720001,3730000,3724304,562,0.0112,C. inopinata
II,3730001,3740000,3734166,1512,0.0082,C. inopinata
II,3750001,3760000,3757071,214,0.0246,C. inopinata
II,3800001,3810000,3805831,1443,0.0057,C. inopinata
II,3810001,3820000,3813366,731,0.0095,C. inopinata
II,3940001,3950000,3943473,165,0.005,C. inopinata
II,3950001,3960000,3956915,753,0.0225,C. inopinata
II,3990001,4000000,3993906,1242,0.0174,C. inopinata
II,4040001,4050000,4047620,1123,0.0125,C. inopinata
II,4050001,4060000,4056378,609,0.0044,C. inopinata
II,4110001,4120000,4113599,471,0.0123,C. inopinata
II,4120001,4130000,4122203,883,0.0075,C. inopinata
II,4130001,4140000,4133162,667,0.0097,C. inopinata
II,4140001,4150000,4146878,638,0.0107,C. inopinata
II,4150001,4160000,4154115,279,0.0108,C. inopinata
II,4170001,4180000,4173207,982,0.006,C. inopinata
II,4190001,4200000,4197601,831,0.0113,C. inopinata
II,4200001,4210000,4202971,1016,0.0118,C. inopinata
II,4270001,4280000,4272193,226,0.0223,C. inopinata
II,4290001,4300000,4297489,864,0.0069,C. inopinata
II,4300001,4310000,4306954,883,0.0064,C. inopinata
II,4310001,4320000,4313320,413,0.0156,C. inopinata
II,4330001,4340000,4334798,1240,0.0172,C. inopinata
II,4340001,4350000,4341376,947,0.0124,C. inopinata
II,4350001,4360000,4353523,634,0.0236,C. inopinata
II,4360001,4370000,4364417,308,0.0139,C. inopinata
II,4430001,4440000,4433898,1407,0.0164,C. inopinata
II,4460001,4470000,4465213,215,0.0061,C. inopinata
II,4470001,4480000,4473087,649,0.0174,C. inopinata
II,4480001,4490000,4484691,209,0.0289,C. inopinata
II,4490001,4500000,4492936,297,0.0288,C. inopinata
II,4540001,4550000,4546740,349,0.0106,C. inopinata
II,4560001,4570000,4567773,549,0.0094,C. inopinata
II,4570001,4580000,4575127,750,0.008,C. inopinata
II,4580001,4590000,4582668,204,0.0178,C. inopinata
II,4630001,4640000,4638553,319,0.0169,C. inopinata
II,4640001,4650000,4645730,328,0.0162,C. inopinata
II,4650001,4660000,4653158,475,0.0077,C. inopinata
II,4660001,4670000,4664289,1167,0.0086,C. inopinata
II,4690001,4700000,4694955,409,0.0206,C. inopinata
II,4700001,4710000,4700489,454,0.0178,C. inopinata
II,4710001,4720000,4713494,410,0.0143,C. inopinata
II,4720001,4730000,4723201,200,0.0173,C. inopinata
II,4780001,4790000,4786967,1097,0.0141,C. inopinata
II,4790001,4800000,4792991,482,0.0121,C. inopinata
II,4810001,4820000,4817494,375,0.0117,C. inopinata
II,4830001,4840000,4834595,301,0.0382,C. inopinata
II,4840001,4850000,4849038,313,0.0236,C. inopinata
II,4850001,4860000,4852189,209,0.0132,C. inopinata
II,4860001,4870000,4866856,501,0.0168,C. inopinata
II,4870001,4880000,4878227,178,0.0316,C. inopinata
II,4880001,4890000,4883008,771,0.0189,C. inopinata
II,4890001,4900000,4894721,594,0.0278,C. inopinata
II,4900001,4910000,4905986,205,0.0296,C. inopinata
II,4940001,4950000,4946134,1059,0.0114,C. inopinata
II,5000001,5010000,5006357,1338,0.0116,C. inopinata
II,5010001,5020000,5016543,214,0.0159,C. inopinata
II,5020001,5030000,5022964,176,0.0053,C. inopinata
II,5030001,5040000,5036413,1766,0.0122,C. inopinata
II,5040001,5050000,5045962,541,0.0249,C. inopinata
II,5050001,5060000,5052782,577,0.0199,C. inopinata
II,5070001,5080000,5076302,408,0.0165,C. inopinata
II,5080001,5090000,5087510,336,0.0103,C. inopinata
II,5100001,5110000,5102443,241,0.0104,C. inopinata
II,5110001,5120000,5113389,895,0.0159,C. inopinata
II,5130001,5140000,5134436,613,0.0237,C. inopinata
II,5140001,5150000,5146854,181,0.0021,C. inopinata
II,5180001,5190000,5186780,811,0.0103,C. inopinata
II,5190001,5200000,5193624,566,0.0199,C. inopinata
II,5200001,5210000,5202744,816,0.0222,C. inopinata
II,5210001,5220000,5211852,334,0.0066,C. inopinata
II,5220001,5230000,5224215,760,0.014,C. inopinata
II,5230001,5240000,5232935,463,0.0129,C. inopinata
II,5240001,5250000,5244326,1138,0.012,C. inopinata
II,5250001,5260000,5252900,273,0.0068,C. inopinata
II,5280001,5290000,5286144,322,0.0114,C. inopinata
II,5290001,5300000,5298510,465,0.008,C. inopinata
II,5300001,5310000,5304018,1460,0.0125,C. inopinata
II,5310001,5320000,5315311,960,0.0156,C. inopinata
II,5320001,5330000,5327823,331,0.0323,C. inopinata
II,5330001,5340000,5334924,841,0.0065,C. inopinata
II,5340001,5350000,5345879,178,0.0155,C. inopinata
II,5350001,5360000,5356848,617,0.0143,C. inopinata
II,5360001,5370000,5367243,1846,0.0103,C. inopinata
II,5370001,5380000,5371288,983,0.0071,C. inopinata
II,5410001,5420000,5417204,1521,0.0219,C. inopinata
II,5420001,5430000,5422530,1337,0.0247,C. inopinata
II,5430001,5440000,5434437,205,0.0265,C. inopinata
II,5470001,5480000,5474697,275,0.0187,C. inopinata
II,5490001,5500000,5497429,230,0.0133,C. inopinata
II,5510001,5520000,5516074,185,0.0098,C. inopinata
II,5520001,5530000,5527633,2979,0.0102,C. inopinata
II,5530001,5540000,5533944,1762,0.0147,C. inopinata
II,5540001,5550000,5542283,550,0.0133,C. inopinata
II,5560001,5570000,5564589,592,0.0253,C. inopinata
II,5580001,5590000,5584816,384,0.0183,C. inopinata
II,5590001,5600000,5593264,531,0.0323,C. inopinata
II,5600001,5610000,5606790,328,0.0293,C. inopinata
II,5610001,5620000,5614347,633,0.0114,C. inopinata
II,5690001,5700000,5693914,205,0.0024,C. inopinata
II,5740001,5750000,5745463,1025,0.0066,C. inopinata
II,5750001,5760000,5755359,279,0.0044,C. inopinata
II,5770001,5780000,5779803,311,0.014,C. inopinata
II,5790001,5800000,5797012,600,0.0127,C. inopinata
II,5800001,5810000,5800114,224,0.0247,C. inopinata
II,5830001,5840000,5837850,351,0.002,C. inopinata
II,5840001,5850000,5849644,344,0.0164,C. inopinata
II,5850001,5860000,5851123,295,0.0082,C. inopinata
II,5860001,5870000,5866273,664,0.0124,C. inopinata
II,5870001,5880000,5874546,691,0.0067,C. inopinata
II,5880001,5890000,5882214,271,0.0041,C. inopinata
II,5890001,5900000,5895496,178,0.0258,C. inopinata
II,5900001,5910000,5907828,493,0.0203,C. inopinata
II,5910001,5920000,5912360,217,0.0295,C. inopinata
II,5930001,5940000,5934714,462,0.0416,C. inopinata
II,5940001,5950000,5942101,642,0.0146,C. inopinata
II,5950001,5960000,5955884,301,0.0132,C. inopinata
II,5960001,5970000,5963998,349,0.0084,C. inopinata
II,5970001,5980000,5974867,1004,0.023,C. inopinata
II,5990001,6000000,5996097,276,0.0055,C. inopinata
II,6000001,6010000,6003211,649,0.0238,C. inopinata
II,6010001,6020000,6016207,870,0.0178,C. inopinata
II,6020001,6030000,6021794,1092,0.0146,C. inopinata
II,6030001,6040000,6035352,327,0.0283,C. inopinata
II,6040001,6050000,6046281,544,0.0159,C. inopinata
II,6050001,6060000,6055210,1299,0.0121,C. inopinata
II,6060001,6070000,6068386,393,0.0136,C. inopinata
II,6070001,6080000,6071184,231,0.0084,C. inopinata
II,6080001,6090000,6086900,203,0.0058,C. inopinata
II,6090001,6100000,6097810,1209,0.0092,C. inopinata
II,6100001,6110000,6105168,806,0.0093,C. inopinata
II,6110001,6120000,6117520,910,0.009,C. inopinata
II,6130001,6140000,6134576,415,0.0097,C. inopinata
II,6140001,6150000,6143644,267,0.0022,C. inopinata
II,6150001,6160000,6151120,245,0.0071,C. inopinata
II,6170001,6180000,6173950,543,0.0158,C. inopinata
II,6180001,6190000,6187405,241,0.0019,C. inopinata
II,6190001,6200000,6195818,1228,0.0161,C. inopinata
II,6210001,6220000,6217892,650,0.0265,C. inopinata
II,6230001,6240000,6238647,272,0.0015,C. inopinata
II,6240001,6250000,6247858,211,0.0116,C. inopinata
II,6260001,6270000,6261638,973,0.0022,C. inopinata
II,6270001,6280000,6275310,1499,0.01,C. inopinata
II,6280001,6290000,6282913,1589,0.0161,C. inopinata
II,6290001,6300000,6299371,309,0.0141,C. inopinata
II,6300001,6310000,6305752,1275,0.0139,C. inopinata
II,6310001,6320000,6319110,232,0.0079,C. inopinata
II,6350001,6360000,6356404,167,0.0138,C. inopinata
II,6360001,6370000,6363982,1822,0.0024,C. inopinata
II,6370001,6380000,6373096,901,0.0165,C. inopinata
II,6380001,6390000,6387006,389,0.0024,C. inopinata
II,6400001,6410000,6405657,651,0.0162,C. inopinata
II,6410001,6420000,6413105,871,0.0094,C. inopinata
II,6430001,6440000,6435510,329,0.0188,C. inopinata
II,6450001,6460000,6452362,681,0.0224,C. inopinata
II,6470001,6480000,6472007,304,0.0132,C. inopinata
II,6480001,6490000,6483065,420,0.0073,C. inopinata
II,6490001,6500000,6495711,1227,0.0024,C. inopinata
II,6500001,6510000,6503058,1503,0.0149,C. inopinata
II,6520001,6530000,6527701,866,0.0154,C. inopinata
II,6530001,6540000,6536924,899,0.0182,C. inopinata
II,6540001,6550000,6549353,790,0.0031,C. inopinata
II,6550001,6560000,6553067,452,0.0094,C. inopinata
II,6570001,6580000,6573928,583,0.0056,C. inopinata
II,6580001,6590000,6585546,1753,0.0056,C. inopinata
II,6590001,6600000,6594182,1102,0.0057,C. inopinata
II,6600001,6610000,6606564,307,0.0056,C. inopinata
II,6610001,6620000,6617048,820,0.0057,C. inopinata
II,6620001,6630000,6622133,1506,0.0056,C. inopinata
II,6630001,6640000,6636598,381,0.0126,C. inopinata
II,6650001,6660000,6655510,1216,0.0068,C. inopinata
II,6660001,6670000,6663300,738,0.0052,C. inopinata
II,6670001,6680000,6676437,187,0.0109,C. inopinata
II,6690001,6700000,6694190,1078,0.0113,C. inopinata
II,6700001,6710000,6702168,527,0.013,C. inopinata
II,6710001,6720000,6715445,570,0.0161,C. inopinata
II,6740001,6750000,6746428,626,0.0116,C. inopinata
II,6760001,6770000,6763503,215,0.0117,C. inopinata
II,6770001,6780000,6777219,735,0.0039,C. inopinata
II,6780001,6790000,6784074,1381,0.0038,C. inopinata
II,6790001,6800000,6795308,1767,0.0045,C. inopinata
II,6800001,6810000,6803376,1026,0.0092,C. inopinata
II,6810001,6820000,6815215,1011,0.0206,C. inopinata
II,6820001,6830000,6829193,283,0.0061,C. inopinata
II,6830001,6840000,6832504,969,0.0044,C. inopinata
II,6840001,6850000,6844772,1012,0.0062,C. inopinata
II,6850001,6860000,6854260,950,0.0029,C. inopinata
II,6860001,6870000,6867464,828,0.0142,C. inopinata
II,6870001,6880000,6874107,780,0.0125,C. inopinata
II,6880001,6890000,6885876,1557,0.0102,C. inopinata
II,6890001,6900000,6894159,2142,0.007,C. inopinata
II,6900001,6910000,6903781,1814,0.0041,C. inopinata
II,6910001,6920000,6911574,258,0.0032,C. inopinata
II,6920001,6930000,6926350,1114,0.0049,C. inopinata
II,6930001,6940000,6934568,1978,0.0053,C. inopinata
II,6940001,6950000,6945682,903,0.0076,C. inopinata
II,6950001,6960000,6956288,217,0.0167,C. inopinata
II,6960001,6970000,6961576,461,0.0076,C. inopinata
II,6970001,6980000,6974852,1354,0.018,C. inopinata
II,6980001,6990000,6983715,816,0.0099,C. inopinata
II,6990001,7000000,6995699,470,0.0101,C. inopinata
II,7000001,7010000,7001478,863,0.0096,C. inopinata
II,7030001,7040000,7034672,1621,0.0094,C. inopinata
II,7040001,7050000,7044678,696,0.0044,C. inopinata
II,7050001,7060000,7055113,1204,0.0094,C. inopinata
II,7060001,7070000,7062885,556,0.011,C. inopinata
II,7070001,7080000,7074618,543,0.0048,C. inopinata
II,7080001,7090000,7083850,612,0.0113,C. inopinata
II,7090001,7100000,7096071,976,0.0034,C. inopinata
II,7110001,7120000,7115092,198,0.0169,C. inopinata
II,7120001,7130000,7120593,252,0.0068,C. inopinata
II,7160001,7170000,7165827,734,0.0058,C. inopinata
II,7170001,7180000,7175708,1064,0.0059,C. inopinata
II,7180001,7190000,7184732,578,0.0132,C. inopinata
II,7190001,7200000,7194695,436,0.0091,C. inopinata
II,7200001,7210000,7200755,615,0.0069,C. inopinata
II,7210001,7220000,7216070,1353,0.0078,C. inopinata
II,7220001,7230000,7221223,689,0.0137,C. inopinata
II,7230001,7240000,7231159,712,0.0089,C. inopinata
II,7260001,7270000,7267926,848,0.004,C. inopinata
II,7270001,7280000,7275802,948,0.0048,C. inopinata
II,7280001,7290000,7285018,1410,0.0066,C. inopinata
II,7290001,7300000,7298381,340,0.0025,C. inopinata
II,7300001,7310000,7303925,708,0.0194,C. inopinata
II,7310001,7320000,7317932,202,0.0172,C. inopinata
II,7320001,7330000,7323408,537,0.0129,C. inopinata
II,7330001,7340000,7334454,546,0.0257,C. inopinata
II,7360001,7370000,7366103,1343,0.006,C. inopinata
II,7370001,7380000,7373571,545,0.0089,C. inopinata
II,7380001,7390000,7384685,787,0.0135,C. inopinata
II,7390001,7400000,7397037,302,0.0037,C. inopinata
II,7400001,7410000,7404390,643,0.0104,C. inopinata
II,7420001,7430000,7427806,292,0.013,C. inopinata
II,7430001,7440000,7433218,1498,0.0063,C. inopinata
II,7450001,7460000,7455969,680,0.0089,C. inopinata
II,7460001,7470000,7465702,997,0.0142,C. inopinata
II,7470001,7480000,7478240,597,0.0067,C. inopinata
II,7480001,7490000,7487394,267,0.0211,C. inopinata
II,7490001,7500000,7498200,446,0.0138,C. inopinata
II,7500001,7510000,7506335,691,0.0148,C. inopinata
II,7510001,7520000,7517276,188,0.0089,C. inopinata
II,7520001,7530000,7527002,686,0.002,C. inopinata
II,7530001,7540000,7535356,632,0.0061,C. inopinata
II,7540001,7550000,7545414,856,0.0033,C. inopinata
II,7550001,7560000,7553435,575,0.0034,C. inopinata
II,7620001,7630000,7624317,632,0.0088,C. inopinata
II,7640001,7650000,7647288,563,0.0289,C. inopinata
II,7650001,7660000,7653570,1486,0.0132,C. inopinata
II,7660001,7670000,7666783,1070,0.0087,C. inopinata
II,7690001,7700000,7696826,591,0.0074,C. inopinata
II,7710001,7720000,7715666,433,0.0136,C. inopinata
II,7720001,7730000,7728932,1110,0.0111,C. inopinata
II,7730001,7740000,7731914,1380,0.0047,C. inopinata
II,7740001,7750000,7742397,353,0.0085,C. inopinata
II,7750001,7760000,7754438,1250,0.0032,C. inopinata
II,7760001,7770000,7761219,1501,0.0018,C. inopinata
II,7790001,7800000,7794132,284,0.0037,C. inopinata
II,7800001,7810000,7807083,603,0.0262,C. inopinata
II,7820001,7830000,7828669,952,0.0054,C. inopinata
II,7830001,7840000,7835379,1051,0.0059,C. inopinata
II,7840001,7850000,7845889,427,0.0075,C. inopinata
II,7870001,7880000,7874684,1398,0.015,C. inopinata
II,7890001,7900000,7896164,405,0.0062,C. inopinata
II,7900001,7910000,7904384,576,0.0047,C. inopinata
II,7910001,7920000,7916397,730,0.0004,C. inopinata
II,7920001,7930000,7926274,1076,0.0098,C. inopinata
II,7930001,7940000,7933433,670,0.0119,C. inopinata
II,7940001,7950000,7943391,570,0.012,C. inopinata
II,7950001,7960000,7958009,691,0.0046,C. inopinata
II,7970001,7980000,7973601,230,0.0192,C. inopinata
II,7980001,7990000,7987746,760,0.0032,C. inopinata
II,7990001,8000000,7995157,1308,0.0058,C. inopinata
II,8000001,8010000,8005728,1233,0.0089,C. inopinata
II,8010001,8020000,8012347,765,0.0103,C. inopinata
II,8020001,8030000,8022346,280,0.0044,C. inopinata
II,8040001,8050000,8043975,1998,0.0081,C. inopinata
II,8050001,8060000,8054928,1106,0.013,C. inopinata
II,8060001,8070000,8065304,508,0.0064,C. inopinata
II,8070001,8080000,8076491,1001,0.0107,C. inopinata
II,8080001,8090000,8085820,556,0.0148,C. inopinata
II,8100001,8110000,8108147,200,0.0021,C. inopinata
II,8120001,8130000,8122192,565,0.004,C. inopinata
II,8130001,8140000,8131979,917,0.0036,C. inopinata
II,8140001,8150000,8145712,925,0.0196,C. inopinata
II,8150001,8160000,8157726,533,0.015,C. inopinata
II,8160001,8170000,8164255,1053,0.0068,C. inopinata
II,8190001,8200000,8196889,1003,0.0147,C. inopinata
II,8200001,8210000,8205532,1474,0.0053,C. inopinata
II,8210001,8220000,8218101,650,0.0089,C. inopinata
II,8220001,8230000,8227248,409,0.0009,C. inopinata
II,8230001,8240000,8234073,709,0.0086,C. inopinata
