scaffold,start,end,mid,sites,pi_all,species
I,1700001,1710000,1705128,955,0.0141,C. inopinata
I,1710001,1720000,1712114,347,0.0093,C. inopinata
I,1720001,1730000,1723848,1160,0.0074,C. inopinata
I,1730001,1740000,1734898,906,0.0106,C. inopinata
I,1740001,1750000,1744973,823,0.0086,C. inopinata
I,1750001,1760000,1753144,854,0.0121,C. inopinata
I,1760001,1770000,1764022,1900,0.0147,C. inopinata
I,1770001,1780000,1775731,1951,0.0103,C. inopinata
I,1780001,1790000,1784859,1228,0.0068,C. inopinata
I,1790001,1800000,1794561,1298,0.0086,C. inopinata
I,1800001,1810000,1804971,1803,0.0131,C. inopinata
I,1820001,1830000,1828132,432,0.0233,C. inopinata
I,1870001,1880000,1873987,522,0.0106,C. inopinata
I,1890001,1900000,1896296,406,0.014,C. inopinata
I,1910001,1920000,1914617,280,0.0151,C. inopinata
I,1920001,1930000,1926316,1131,0.0148,C. inopinata
I,1930001,1940000,1935905,621,0.0108,C. inopinata
I,2010001,2020000,2016113,205,0.0149,C. inopinata
I,2020001,2030000,2025375,537,0.0182,C. inopinata
I,2030001,2040000,2039005,297,0.0087,C. inopinata
I,2040001,2050000,2044028,836,0.0216,C. inopinata
I,2070001,2080000,2073174,688,0.0112,C. inopinata
I,2080001,2090000,2085391,405,0.0134,C. inopinata
I,2090001,2100000,2095437,462,0.0118,C. inopinata
I,2110001,2120000,2115537,855,0.0206,C. inopinata
I,2120001,2130000,2126603,555,0.0067,C. inopinata
I,2130001,2140000,2134755,1079,0.0134,C. inopinata
I,2140001,2150000,2145838,1751,0.0196,C. inopinata
I,2150001,2160000,2150426,240,0.0439,C. inopinata
I,2160001,2170000,2164390,291,0.0098,C. inopinata
I,2170001,2180000,2177560,574,0.0147,C. inopinata
I,2180001,2190000,2186023,943,0.0179,C. inopinata
I,2190001,2200000,2196326,433,0.0168,C. inopinata
I,2200001,2210000,2203720,944,0.0291,C. inopinata
I,2210001,2220000,2216799,903,0.0206,C. inopinata
I,2220001,2230000,2224713,458,0.0128,C. inopinata
I,2230001,2240000,2231771,1319,0.025,C. inopinata
I,2260001,2270000,2266538,827,0.0302,C. inopinata
I,2270001,2280000,2273330,634,0.0247,C. inopinata
I,2280001,2290000,2283074,329,0.0252,C. inopinata
I,2290001,2300000,2297155,920,0.0041,C. inopinata
I,2300001,2310000,2306611,431,0.0038,C. inopinata
I,2310001,2320000,2315646,989,0.0312,C. inopinata
I,2340001,2350000,2340358,169,0.0049,C. inopinata
I,2360001,2370000,2363114,446,0.0303,C. inopinata
I,2370001,2380000,2373597,427,0.0202,C. inopinata
I,2390001,2400000,2390313,287,0.0397,C. inopinata
I,2400001,2410000,2405243,485,0.0083,C. inopinata
I,2410001,2420000,2417621,421,0.0381,C. inopinata
I,2420001,2430000,2421950,384,0.0223,C. inopinata
I,2430001,2440000,2435513,583,0.0211,C. inopinata
I,2440001,2450000,2444891,654,0.0106,C. inopinata
I,2450001,2460000,2455923,940,0.0093,C. inopinata
I,2580001,2590000,2587139,326,0.0064,C. inopinata
I,2590001,2600000,2592203,269,0.0109,C. inopinata
I,2610001,2620000,2617821,274,0.0284,C. inopinata
I,2620001,2630000,2624175,375,0.0185,C. inopinata
I,2630001,2640000,2634195,405,0.0232,C. inopinata
I,2650001,2660000,2658584,379,0.0172,C. inopinata
I,2660001,2670000,2662600,437,0.0127,C. inopinata
I,2670001,2680000,2675263,251,0.0371,C. inopinata
